date,value
1.73E+12,123625.984
1.73E+12,120020.3
1.73E+12,122699.61
1.73E+12,117345.72
1.73E+12,121485.68
1.73E+12,118945.484
1.73E+12,120257.36
1.73E+12,113850.34
1.73E+12,118201.016
1.73E+12,113938.31
1.73E+12,114487.97
1.73E+12,103836.98
1.73E+12,91614.28
1.73E+12,78819.22
1.73E+12,81777.875
1.73E+12,74981.15
1.73E+12,71381.516
1.73E+12,73541.805
1.73E+12,71506.6
1.73E+12,73940.64
1.73E+12,72976.84
1.73E+12,74847.96
1.73E+12,73509.45
1.73E+12,73494.4
1.73E+12,76137.914
1.73E+12,74617.09
1.73E+12,73865.54
1.73E+12,73817.2
1.73E+12,71498.31
1.73E+12,73851.34
1.73E+12,74810.81
1.73E+12,70861.39
1.73E+12,74041.52
1.73E+12,73678.805
1.73E+12,70128.04
1.73E+12,73668.32
1.73E+12,74697.53
1.73E+12,71379.81
1.73E+12,74275.37
1.73E+12,76769.82
1.73E+12,72922.1
1.73E+12,73414.6
1.73E+12,71630.46
1.73E+12,73672.42
1.73E+12,75707.51
1.73E+12,73473.09
1.73E+12,74201.3
1.73E+12,71469.76
1.73E+12,75386.29
1.73E+12,75352.74
1.73E+12,77030.72
1.73E+12,77616.83
1.73E+12,73965.414
1.73E+12,74040.62
1.73E+12,73776.88
1.73E+12,76574.15
1.73E+12,73556.76
1.73E+12,75807.49
1.73E+12,73788.34
1.73E+12,71970.52
1.73E+12,74220.43
1.73E+12,73170.37
1.73E+12,75487.61
1.73E+12,68523.63
1.73E+12,72303.74
1.73E+12,74183.14
1.73E+12,70998.47
1.73E+12,72296.77
1.73E+12,68510.6
1.73E+12,72174.25
1.73E+12,70203.57
1.73E+12,73370.29
1.73E+12,74003.19
1.73E+12,71207.445
1.73E+12,70758.53
1.73E+12,67178.945
1.73E+12,62685.77
1.73E+12,94201.23
1.73E+12,94426.055
1.73E+12,91445.35
1.73E+12,89920.72
1.73E+12,94782.19
